OFFENSE_CLASS_CODE,LAW_CAT_CD,OFNS_DESC
341,MISDEMEANOR,PETIT LARCENY
578,VIOLATION,HARRASSMENT 2
351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
109,FELONY,GRAND LARCENY
106,FELONY,FELONY ASSAULT
359,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI
105,FELONY,ROBBERY
110,FELONY,GRAND LARCENY OF MOTOR VEHICLE
233,MISDEMEANOR,SEX CRIMES
352,MISDEMEANOR,CRIMINAL TRESPASS
126,FELONY,MISCELLANEOUS PENAL LAW
107,FELONY,BURGLARY
121,FELONY,CRIMINAL MISCHIEF & RELATED OF
116,FELONY,SEX CRIMES
112,FELONY,THEFT-FRAUD
118,FELONY,DANGEROUS WEAPONS
678,VIOLATION,MISCELLANEOUS PENAL LAW
340,MISDEMEANOR,FRAUDS
572,VIOLATION,DISORDERLY CONDUCT
104,FELONY,RAPE
113,FELONY,FORGERY
365,MISDEMEANOR,ADMINISTRATIVE CODE
348,MISDEMEANOR,VEHICLE AND TRAFFIC LAWS
353,MISDEMEANOR,UNAUTHORIZED USE OF A VEHICLE
343,MISDEMEANOR,OTHER OFFENSES RELATED TO THEF
111,FELONY,POSSESSION OF STOLEN PROPERTY
364,MISDEMEANOR,AGRICULTURE & MRKTS LAW-UNCLASSIFIED
114,FELONY,ARSON
347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING
231,MISDEMEANOR,BURGLAR'S TOOLS
355,MISDEMEANOR,OFFENSES AGAINST THE PERSON
117,FELONY,DANGEROUS DRUGS
236,MISDEMEANOR,DANGEROUS WEAPONS
235,MISDEMEANOR,DANGEROUS DRUGS
342,MISDEMEANOR,PETIT LARCENY OF MOTOR VEHICLE
122,FELONY,GAMBLING
350,MISDEMEANOR,GAMBLING
232,MISDEMEANOR,POSSESSION OF STOLEN PROPERTY
125,FELONY,NYS LAWS-UNCLASSIFIED FELONY
363,MISDEMEANOR,OFFENSES AGAINST PUBLIC SAFETY
345,MISDEMEANOR,ENDAN WELFARE INCOMP
358,MISDEMEANOR,OFFENSES INVOLVING FRAUD
124,FELONY,KIDNAPPING & RELATED OFFENSES
103,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE"
346,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW
677,VIOLATION,OTHER STATE LAWS
366,MISDEMEANOR,NEW YORK CITY HEALTH CODE
238,MISDEMEANOR,FRAUDULENT ACCOSTING
120,FELONY,CHILD ABANDONMENT/NON SUPPORT
356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES
675,VIOLATION,ADMINISTRATIVE CODE
