CMPLNT_NUM,OFFENSE_CLASS_CODE,LAW_CAT_CD,OFNS_DESC
1,361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
2,578,VIOLATION,HARRASSMENT 2
3,578,VIOLATION,HARRASSMENT 2
4,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
5,107,FELONY,BURGLARY
6,578,VIOLATION,HARRASSMENT 2
7,105,FELONY,ROBBERY
8,107,FELONY,BURGLARY
9,105,FELONY,ROBBERY
10,105,FELONY,ROBBERY
11,341,MISDEMEANOR,PETIT LARCENY
12,578,VIOLATION,HARRASSMENT 2
13,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
14,121,FELONY,CRIMINAL MISCHIEF & RELATED OF
15,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
16,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
17,578,VIOLATION,HARRASSMENT 2
18,341,MISDEMEANOR,PETIT LARCENY
19,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
20,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
21,118,FELONY,DANGEROUS WEAPONS
22,578,VIOLATION,HARRASSMENT 2
23,578,VIOLATION,HARRASSMENT 2
24,341,MISDEMEANOR,PETIT LARCENY
25,121,FELONY,CRIMINAL MISCHIEF & RELATED OF
26,341,MISDEMEANOR,PETIT LARCENY
27,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
28,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
29,126,FELONY,MISCELLANEOUS PENAL LAW
30,341,MISDEMEANOR,PETIT LARCENY
31,578,VIOLATION,HARRASSMENT 2
32,341,MISDEMEANOR,PETIT LARCENY
33,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
34,578,VIOLATION,HARRASSMENT 2
35,126,FELONY,MISCELLANEOUS PENAL LAW
36,233,MISDEMEANOR,SEX CRIMES
37,340,MISDEMEANOR,FRAUDS
38,117,FELONY,DANGEROUS DRUGS
39,340,MISDEMEANOR,FRAUDS
40,111,FELONY,POSSESSION OF STOLEN PROPERTY
41,106,FELONY,FELONY ASSAULT
42,105,FELONY,ROBBERY
43,341,MISDEMEANOR,PETIT LARCENY
44,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
45,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
46,109,FELONY,GRAND LARCENY
47,341,MISDEMEANOR,PETIT LARCENY
48,109,FELONY,GRAND LARCENY
49,341,MISDEMEANOR,PETIT LARCENY
50,578,VIOLATION,HARRASSMENT 2
51,104,FELONY,RAPE
52,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
53,109,FELONY,GRAND LARCENY
54,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
55,341,MISDEMEANOR,PETIT LARCENY
56,578,VIOLATION,HARRASSMENT 2
57,121,FELONY,CRIMINAL MISCHIEF & RELATED OF
58,110,FELONY,GRAND LARCENY OF MOTOR VEHICLE
59,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
60,126,FELONY,MISCELLANEOUS PENAL LAW
61,341,MISDEMEANOR,PETIT LARCENY
62,105,FELONY,ROBBERY
63,351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
64,341,MISDEMEANOR,PETIT LARCENY
65,341,MISDEMEANOR,PETIT LARCENY
66,341,MISDEMEANOR,PETIT LARCENY
67,341,MISDEMEANOR,PETIT LARCENY
68,107,FELONY,BURGLARY
69,114,FELONY,ARSON
70,578,VIOLATION,HARRASSMENT 2
71,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
72,105,FELONY,ROBBERY
73,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
74,107,FELONY,BURGLARY
75,352,MISDEMEANOR,CRIMINAL TRESPASS
76,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
77,126,FELONY,MISCELLANEOUS PENAL LAW
78,578,VIOLATION,HARRASSMENT 2
79,341,MISDEMEANOR,PETIT LARCENY
80,109,FELONY,GRAND LARCENY
81,341,MISDEMEANOR,PETIT LARCENY
82,107,FELONY,BURGLARY
83,109,FELONY,GRAND LARCENY
84,578,VIOLATION,HARRASSMENT 2
85,341,MISDEMEANOR,PETIT LARCENY
86,343,MISDEMEANOR,OTHER OFFENSES RELATED TO THEF
87,106,FELONY,FELONY ASSAULT
88,109,FELONY,GRAND LARCENY
89,109,FELONY,GRAND LARCENY
90,341,MISDEMEANOR,PETIT LARCENY
91,341,MISDEMEANOR,PETIT LARCENY
92,578,VIOLATION,HARRASSMENT 2
93,121,FELONY,CRIMINAL MISCHIEF & RELATED OF
94,107,FELONY,BURGLARY
95,106,FELONY,FELONY ASSAULT
96,126,FELONY,MISCELLANEOUS PENAL LAW
97,578,VIOLATION,HARRASSMENT 2
98,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
99,121,FELONY,CRIMINAL MISCHIEF & RELATED OF
100,106,FELONY,FELONY ASSAULT
